être,be
dessus,over
présenter,present
accepter,accept
blanc,off white
baiser,kiss
sinon,otherwise
drôle,funny
confiance,confidence
cinq,five
bonsoir,good evening
compte,account
téléphone,phone
casser,break
frapper,hit
facile,easy
rêve,dream
copain,boyfriend
impossible,impossible
rue,street
lettre,letter
ignorer,ignore
froid,cold
fête,festival
couper,cut off
esprit,spirit
taire,silence
seigneur,lord
flic,cop
force,force
pareil,such
parfois,sometimes
capitaine,captain
âge,age
autant,as
plan,plan
pièce,piece
quatre,four
cul,ass
difficile,challenging
bras,arm
surtout,mainly
tromper,deceive
ressembler,look like
jurer,swear
simple,simple
prison,prison
sale,dirty
courir,run
pire,worse
état,state
remettre,hand over
carte,map
grave,serious
paix,peace
exactement,exactly
refuser,turn down
dès,from
président,president
cours,course
vivant,living
terminer,finish
ciel,sky
partout,all over
âme,soul
patron,boss
amuser,amuse
celle,that
visage,face
intéresser,interest
reconnaître,recognize
médecin,doctor
rapport,report
rouge,red
pardonner,forgive
avis,notice
embrasser,kiss
retour,return
sérieux,serious
danser,dance
humain,human
chaud,hot
maître,master
exister,exist
différent,different
faux,false
souvent,often
clair,clear
lumière,light
génial,great
normal,normal
libre,free
moyen,average
sûrement,surely
hôpital,hospital
ceci,this
réussir,succeed
bizarre,weird
voix,voice
or,or
protéger,protect
honneur,honor
tôt,early
équipe,team
prévenir,warn
cheval,horse
ailleurs,somewhere else
avion,aircraft
bout,end
habiter,dwell
faim,hunger
ensuite,then
l'un,one
déranger,disturb
reprendre,resume
oncle,uncle
toute,all
prix,price
retard,delay
détruire,destroy
cadeau,gift
pousser,Push
amoureux,in love
gueule,mouth
chemin,path
bateau,boat
sac,bag
seconde,second
sujet,topic
bête,beast
découvrir,find out
erreur,error
soleil,sun
voyage,travel
sauter,jump
rêver,dream
détester,hate
paraître,appear
balle,ball
empêcher,prevent
courant,current
maintenir,maintain
cheveu,hair
sauf,except
grâce,grace
papier,paper
présent,present
supposer,assume
tranquille,quiet
t,t
épouser,marry
table,table
dix,ten
clé,key
agent,agent
approcher,approach
gauche,left
sens,meaning
craindre,fear
six,six
message,message
crier,shout
salle,room
inviter,invite
effet,effect
réfléchir,think
espèce,species
arranger,arrange
naître,be born
allô,hello
bois,wood
propos,About
camp,camp
sorte,kind
hôtel,hotel
c,c
gamin,kid
début,beginning
souffrir,suffer
jambe,leg
remercier,thank
choix,choice
sécurité,security
avocat,lawyer
attraper,catch
dame,lady
client,customer
dépêcher,dispatch
peuple,people
abandonner,give up
vérifier,check up
journal,newspaper
brûler,burn
loi,law
fond,background
gosse,kid
américain,American
fric,money
situation,situation
euh,uh
accident,accident
doute,doubt
scène,scene
soldat,soldier
assurer,ensure
preuve,proof
ennemi,enemy
mer,sea
silence,silence
télé,TV
victime,victim
complètement,completely
doux,soft
pute,whore
garde,guard
meurtre,murder
groupe,group
salaud,bastard
traiter,deal
ferme,farm
doucement,gently
blesser,hurt
colonel,colonel
certain,some
parole,speech
triste,sad
honte,shame
intérieur,inside
dégager,free
soirée,evening
dangereux,dangerous
certains,some
armée,army
filer,spin
risquer,risk
dos,back
appel,call
visite,visit
mener,lead
fleur,flower
attaquer,attack
coin,corner
prince,prince
bordel,whorehouse
ancien,old
professeur,professor
fumer,smoke
répéter,repeat
habitude,habit
signer,Sign up
i,i
ficher,file
diable,devil
anniversaire,anniversary
mériter,deserve
réponse,answer
rejoindre,meet
bleu,blue
discuter,discuss
village,village
pourtant,yet
incroyable,incredible
avancer,advance
connerie,bullshit
reposer,rest
échapper,escape
riche,rich
forme,form
bruit,noise
chacun,each
fier,proud
exemple,example
charger,load
chat,cat
supporter,support
rendez-vous,appointment
debout,standing
public,public
obliger,force
dommage,too bad
trou,hole
étranger,foreign
accompagner,accompany
fenêtre,window
allemand,German
merveilleux,wonderful
oser,dare
impression,printing
sourire,smile
bouche,mouth
ligne,line
absolument,absolutely
étrange,strange
regretter,regret
mur,wall
enfer,hell
prouver,prove
boîte,box
santé,health
couvrir,cover up
magnifique,magnificent
obtenir,obtain
cuisine,kitchen
vue,view
terrible,terrible
peau,skin
éviter,avoid
autour,around
m,m
conseil,council
plaisanter,joke
vin,wine
animal,animal
exact,exact
déjeuner,lunch
est,EST
virer,transfer
régler,adjust
doigt,finger
souhaiter,wish
mission,mission
créer,create
mille,thousand
chanson,song
pote,buddy
surveiller,monitor
simplement,simply
recommencer,restart
robe,dress
adieu,farewell
moitié,half
billet,ticket
spécial,special
personnel,staff
sympa,nice
vaisseau,ship
moi-même,myself
anglais,English
coûter,cost
intéressant,interesting
poste,post
compris,including
signe,sign
français,French
vol,flight
couleur,color
image,image
connard,motherfucker
parier,bet
mme,Mrs
arbre,tree
bière,beer
poisson,fish
selon,according to
intérêt,interest
lieutenant,lieutenant
danger,Danger
appartenir,belong
remarquer,note
rater,miss
dedans,in
retirer,tap out
directeur,director
bord,edge
entier,whole
tenter,try
liberté,freedom
règle,rule
inutile,unnecessary
patient,patient
banque,bank
lancer,launch
partager,share
classe,class
dossier,file
ressentir,feel
bonheur,happiness
mignon,cute
défendre,defend
stupide,stupid
but,goal
bande,band
fatiguer,fatigue
radio,radio
prévoir,provide
vide,empty
celui-là,that one
camarade,comrade
douter,doubt
oiseau,bird
vent,wind
recherche,sought after
apprécier,appreciate
système,system
capable,capable
fuir,flee
ennui,boredom
tante,aunt
héros,hero
voleur,thief
politique,policy
plusieurs,several
arrière,back
excellent,top notch
pitié,pity
appartement,apartment
tel,such
bosser,work
respirer,breathe
juif,Jewish
récupérer,recover
douleur,pain
libérer,free
sentiment,feeling
grand-père,grandfather
société,company
nez,nose
joie,joy
relation,relation
témoin,witness
acteur,actor
bain,bath
durer,last
marché,market
laver,wash
dent,tooth
là-dedans,in there
mademoiselle,miss
adresse,address
cousin,cousin
compagnie,company
sonner,ring
chaussure,shoe
frais,costs
nul,null
oreille,ear
grand-mère,grandmother
art,art
avenir,future
deviner,guess
ravir,delight
blague,joke
commandant,commander
beauté,beauty
laisse,leash
course,race
coupable,guilty
manière,way
traverser,cross
expérience,experience
soin,care
hors,except
cour,court
retenir,retain
liste,list
remonter,ascend
réaliser,achieve
moquer,mock
étudier,study
installer,set up
courage,cheer up
dingue,crazy
milieu,environment
secours,relief
voisin,neighbor
proposer,offer
ridicule,ridiculous
inspecteur,inspector
projet,project
probablement,probably
rôle,role
risque,risk
ange,angel
action,action
avance,advance
parmi,among
langue,language
emporter,take
contraire,contrary
thé,tea
laquelle,which one
responsable,responsible
colère,anger
départ,departure
époque,time
marié,married
engager,engage
méchant,wicked
cesser,stop
tort,wrong
vacance,vacancy
là-haut,yonder
machine,machine
signifier,mean
russe,Russian
réparer,repair
construire,build
pain,bread
bar,bar
chier,le
club,club
j,j
monstre,monster
été,summer
horrible,horrible
profiter,benefit
pierre,stone
pleuvoir,rain
salope,slut
glace,ice
proche,akin
décision,decision
juge,judge
contrôle,control
séparer,separate
sept,seven
maladie,disease
nature,nature
quartier,Neighborhood
désirer,desire
travers,through
cigarette,cigarette
traîner,drag
respecter,respect
époux,husband
tas,heap
enfuir,escape
diriger,direct
imbécile,idiot
crever,die
fil,thread
combat,fight
poursuivre,continue
morceau,piece
église,church
demande,request
forcer,force
bombe,bomb
lequel,which
espoir,hope
malin,malignant
parfait,pitch perfect
tueur,killer
baisser,lower
grandir,grow up
innocent,innocent
dimanche,Sunday
taxi,cab
interdire,ban
enterrer,bury
causer,cause
survivre,survive
second,second
vert,green
commander,order
cinéma,cinema
match,match
information,information
saint,St.
toilette,toilet
d,d
nu,naked
gouvernement,government
nord,north
censé,supposed
officier,officer
ennuyer,bore
justement,exactly
montagne,mountain
prêter,lend
solution,solution
nettoyer,clean up
opération,operation
occasion,opportunity
atteindre,reach
rouler,roll over
environ,about
débarrasser,rid
arrivé,arrived
position,position
parti,party
cerveau,brain
excuse,excuse
avouer,confess
vêtement,clothing
assassin,assassin
superbe,superb
regard,look
plaindre,complain
remplir,fill in
contrôler,control
planète,planet
taper,type
mensonge,lie
lune,moon
démon,demon
nécessaire,necessary
mémoire,memory
magasin,store
téléphoner,call
dépendre,depend
sacré,sacred
jardin,garden
trace,trace
félicitation,congratulation
parfaire,perfect
attaque,attack
lait,milk
camion,truck
résultat,result
neuf,nine
bonne,good
renvoyer,return
base,base
puisque,since
reine,queen
repartir,restart
enfermer,lock
drogue,drug
droite,right
pur,pure
huit,eight
suivant,next
île,island
refaire,remake
habiller,dress
couteau,knife
enquête,survey
goût,taste
bravo,well done
pensée,thought
gêner,hinder
prisonnier,prisoner
sorcier,sorcerer
intelligent,intelligent
marre,fed up
importance,importance
éteindre,turn off
deuxième,second
nulle,null
bouteille,bottle
champ,field
o,o
rapporter,report
centre,center
militaire,military
coincer,jam
miracle,miracle
malheur,misfortune
réunion,meeting
acte,act
court,short
surprendre,surprise
convaincre,convince
livrer,deliver
quels,what
faîte,top
pont,bridge
immédiatement,immediately
caméra,camera
juger,judge
membre,member
voie,Lane
différence,difference
détail,detail
annoncer,announce
mien,mine
to,to
haïr,hate
test,test
spectacle,show
briser,break
gâteau,cake
certainement,definitely
conseiller,advisor
métier,job
enchanté,nice to meet u
chasser,hunt
attirer,attract
chapeau,hat
mienne,mine
allumer,turn on
cent,cent
respect,respect
criminel,criminal
sous-titrage,subtitling
étoile,star
charmant,charming
écraser,mash up
enfoiré,fucker
genou,knee
formidable,wonderful
arracher,snatch
foi,faith
inventer,invent
zone,area
enceinte,pregnant
honnête,honest
énerver,annoy
lâche,coward
mêler,mix
exploser,explode
réalité,reality
supplier,beg
étonner,surprise
nerveux,nervous
contrat,contract
marche,walking
placer,place
déposer,file
destin,destiny
urgence,emergency
gare,station
aveugle,blind
remplacer,replace
rapide,fast
accuser,accuse
celle-là,that one
terrain,field
nourrir,feed
folie,madness
accorder,grant
ranger,ranger
presser,press
certaines,some
emmerder,piss
vu,seen
reculer,back
sexe,sex
vache,cow
élever,raise
piste,track
prêtre,priest
jaloux,jealous
usine,plant
accrocher,hang
appareil,device
entendu,heard
fiancé,fiancé
costume,costume
coller,paste
code,code
danse,dance
campagne,campaign
intention,intention
valise,suitcase
serrer,tighten
justice,justice
défense,defense
arrêt,stop
malheureux,unhappy
telle,Such
niveau,level
entraîner,train
tendre,tender
envers,back
italien,Italian
crise,crisis
moindre,lesser
tableau,table
piquer,sting
admettre,admit
restaurant,restaurant
pilote,pilot
trésor,treasure
vierge,virgin
produire,produce
double,double
tombe,grave
menacer,threaten
poche,pocket
gâcher,spoil
odeur,odor
futur,future
souci,worry
lorsque,when
concerner,concern
énorme,huge
programme,syllabus
toit,roof
faible,low
représenter,represent
bénir,bless
fusil,gun
repas,meal
montre,watch
rose,pink
fantôme,ghost
plage,beach
endormir,sleep
entrée,Entrance
hasard,chance
louer,rent
soigner,treat
chasse,hunting
organiser,organize
sortie,Exit
examen,review
cadavre,corpse
passe,pass
couler,flow
rigoler,laugh
commettre,commit
inconnu,unknown
crétin,moron
privé,private
utile,helpful
in,in
sol,ground
volonté,will
quelles,what
ventre,belly
étudiant,student
trahir,betray
artiste,artist
lourd,heavy
débrouiller,untangle
shérif,sheriff
fâcher,upset
lui-même,itself
samedi,on Saturday
esclave,slave
malgré,in spite of
source,source
étage,floor
attacher,tie
joindre,join
horreur,horror
sexuel,sexual
pluie,rain
chinois,Chinese
celui-ci,this one
objet,object
finalement,finally
toi-même,thyself
presse,press
siècle,century
mlle,Ms
voyager,travel
larme,tear
ombre,shadow
nommer,name
cri,cry
rechercher,search for
conscience,conscience
parfaitement,perfectly
unique,sole
invité,guest
procès,trial
valeur,value
suspect,suspect
désir,desire
demi,half
maudit,accursed
menteur,liar
obéir,obey
mets,dish
troisième,third
saluer,greet
direction,direction
présence,presence
qu,that
paquet,package
vidéo,video
plat,flat
sein,breast
mordre,bite
nourriture,food
sort,fate
passage,passage
guérir,heal
nombreux,numerous
principal,principal
sage,wise
sommeil,sleep
goûter,taste
stop,stop
week-end,weekend
flingue,gat
article,article
viande,meat
détendre,loosen
interroger,question
étude,study
faillir,fail
talent,talent
condamner,condemn
blond,blond
cou,neck
puissant,powerful
au-dessus,over it
espace,space
profond,deep
marrant,funny
don,donation
apparaître,appear
marquer,mark
ramasser,pick up
égal,equal
château,castle
chemise,shirt
sec,dry
mètre,meter
abattre,knock down
unité,unit
policier,policeman
majesté,majesty
commissaire,commissioner
taille,size
apparemment,apparently
connaissance,knowledge
énergie,energy
considérer,consider
pendre,hang
cellule,cell
combattre,fight
posséder,have
discours,speech
bouffer,eat
naturel,natural
effort,effort
observer,watch
arrivée,arrival
dépasser,exceed
lycée,secondary school
fonctionner,function
gardien,guardian
fouiller,search
pomme,Apple
repos,rest
insister,insist
conversation,conversation
transformer,transform
annuler,cancel
empreinte,footprint
oeuvre,work
réunir,gather
médicament,drug
blessure,injury
réel,real
piger,twig
punir,punish
renoncer,give up
queue,tail
déclarer,report
agréable,nice
confier,entrust
théâtre,theater
leçon,lesson
infirmier,male nurse
violence,violence
ministre,minister
rompre,break up
éclater,break out
titre,title
alcool,alcohol
poulet,chicken
péché,Peach
éloigner,away
porc,pork
allonger,lengthen
appuyer,support
résoudre,resolve
com,com
os,bone
geste,gesture
blessé,injured
université,university
chauffeur,driver
tien,yours
fabriquer,manufacture
mouvement,movement
marque,brand
autrement,otherwise
nombre,number
balancer,swing
vitesse,speed
filmer,filming
chaise,chair
manteau,coat
ouvert,open
joyeux,merry
déconner,messing
voiler,veil
heureusement,fortunately
naissance,birth
former,form
sauvage,wild
concentrer,focus
succès,success
nana,girl
relever,raise
retraite,retirement
fruit,fruit
violer,rape
oeuf,egg
page,page
espagnol,Spanish
supérieur,top
coffre,safe
star,star
neige,snow
sérieusement,seriously
poil,hair
bêtise,foolishness
disputer,contest
lapin,rabbit
salon,living room
chaleur,heat
désormais,henceforth
miss,Miss
commun,common
pisser,piss
hiver,winter
contacter,contact
cochon,pig
collègue,colleague
résister,resist
ajouter,Add on
convenir,admit
chair,flesh
chaîne,chain
curieux,curious
celle-ci,this one
déplacer,move
bloquer,block
corde,rope
identifier,identify
minuit,midnight
veiller,watch
rattraper,catch up
planter,plant
direct,direct
particulier,particular
bref,brief
prudent,prudent
viser,aim for
caisse,cash register
génie,genius
tribunal,court
millier,thousand
lèvre,lip
national,national
prof,prof
moteur,engine
perte,loss
promener,promenade
léger,light
affreux,frightful
venger,revenge
veste,jacket
changement,change
terme,term
pantalon,pants
toutes,all
responsabilité,responsibility
brave,brave
informer,inform
préféré,favorite
pression,pressure
propriétaire,owner
lier,link
ordinateur,computer
fer,iron
effrayer,scare
fêter,celebrate
cauchemar,nightmare
lundi,on Monday
inquiet,worried
élève,student
saisir,grasp
impliquer,involve
ordonner,order
poule,hen
amitié,friendship
faveur,favor
vive,viva
ouest,west
extérieur,outside
carrière,career
série,series
perdu,lost
indiquer,indicate
examiner,examine
professionnel,professional
fesse,buttock
gaz,gas
puer,stink
l'une,one
peindre,paint
douche,shower
fantastique,fantastic
avaler,swallow
lien,link
fatigué,run down
portable,portable
lors,then
champagne,Champagne
désert,desert
rencontre,meeting
démarrer,kick off
prétendre,claim
vélo,bike
soutenir,hold up
singe,monkey
vision,vision
malheureusement,unfortunately
journaliste,journalist
gloire,glory
somme,sum
créature,creature
continue,continues
midi,noon
côte,coast
heu,er
franchement,honestly
amant,lover
champion,champion
noble,noble
exiger,require
victoire,victory
forêt,forest
visiter,visit
pistolet,gun
chasseur,hunter
saigner,bleed
herbe,grass
bouge,moves
identité,identity
soudain,suddenly
aise,pleased
glisser,slip
celles,those
social,social
vieil,old
gaffe,gaffe
vôtre,yours
patte,tab
apercevoir,see
offre,offer
frontière,border
poids,weight
couverture,coverage
réserver,book
univers,universe
provoquer,provoke
durant,during
trembler,tremble
embêter,bother
confirmer,confirm
passion,passion
adulte,adult
puissance,power
complet,No vacancy
fortune,fortune
disque,disk
hum,hum
participer,participate
cible,target
aile,wing
brillant,brilliant
lunette,lunette
canon,gun
essence,gasoline
foutu,fucking
paradis,paradise
décevoir,disappoint
réagir,react
hurler,shout out
aéroport,airport
mise,setting
piège,trap
pédé,fag
haine,hatred
débile,stupid
enregistrer,register
idéal,ideal
coupe,cut
enfance,childhood
science,science
autorité,authority
choc,shock
ballon,balloon
chocolat,chocolate
joueur,player
pis,udder
parc,park
zéro,zero
épée,sword
limite,limit
échange,exchange
fixer,fix
rivière,river
prière,prayer
révéler,give away
évident,obvious
vendredi,on Friday
employé,employee
bouton,button
déménager,move
précis,accurate
uniforme,uniform
épaule,shoulder
admirer,admire
théorie,theory
émission,emission
escalier,stairs
joue,cheek
soupe,soup
promesse,promise
serpent,snake
botte,boot
également,also
mesure,measure
tir,shooting
chèque,check
accueillir,welcome
bataille,battle
sucre,sugar
enseigner,teach
plonger,plunge
éternel,eternal
saison,season
assistant,assistant
habituer,accustom
sombre,dark
buter,abut
promis,promised
soif,thirst
abruti,stupid
b,b
enculé,fucker
modèle,model
fidèle,faithful
explication,explanation
mode,mode
célèbre,famous
péter,fart
scientifique,scientific
concert,concert
personnage,character
distance,distance
urgent,urgent
médical,medical
vague,wave
meurtrier,murderer
date,date
commande,order
bel,beautiful
cimetière,cemetery
emprunter,borrow
humeur,mood
noter,note
mortel,mortal
secrétaire,secretary
verser,pay
permission,permission
lac,lake
allo,Hello
dépenser,spend
ordure,filth
immeuble,building
tâche,task
chouette,owl
emploi,employment
troupe,troupe
assassiner,murder
là-dessus,thereupon
mince,thin
gorge,throat
avertir,warn
matériel,equipment
revolver,revolver
adresser,address
affronter,confront
vider,empty
boule,ball
patience,patience
traître,traitor
échouer,fail
produit,product
nouvel,new
assister,assist
race,race
venu,come
parer,ward
reçu,received
fiston,son
loup,wolf
aube,dawn
permis,allowed
nager,swim
menace,threat
bague,ring
autoriser,authorize
éliminer,eliminate
nuage,cloud
foncer,charge
foyer,home
bal,ball
souris,mouse
auprès,with
subir,undergo
nerf,nerve
feuille,sheet
suicider,suicide
hésiter,hesitate
contenir,contain
exprimer,express
crâne,skull
souffrance,suffering
ouvrier,worker
parfum,perfume
labo,lab
dessiner,draw
pot,pot
augmenter,increase
chou,cabbage
chut,hush
assurance,insurance
armer,arm
station,station
bagage,luggage
physique,physical
aventure,adventure
fac,uni
dénoncer,report
dessin,drawing
voter,vote
citoyen,citizen
extraordinaire,extraordinary
opérer,operate
davantage,further
palais,palace
accès,access
peinture,painting
sud,south
vingt,twenty
ménage,household
procureur,prosecutor
siège,seat
véritable,true
amusant,funny
lendemain,tomorrow
rassurer,reassure
traitement,treatment
centaine,hundred
délicieux,delicious
couloir,corridor
masque,mask
dessous,beneath
rond,round
qualité,quality
croix,cross
fuite,leak
fichu,damn
contenter,please
effacer,delete
suggérer,suggest
jaune,yellow
briller,shine
cesse,stops
croiser,cross
puce,chip
paysan,peasant
envoler,fly
essai,test
moche,ugly
jeunesse,youth
courageux,courageous
tienne,yours
totalement,totally
job,job
sourd,deaf
voeu,vow
raser,raze
événement,event
partenaire,partner
dit,said
soi,self
étouffer,choke
total,Grand total
volant,flying
tarder,delay
entreprise,business
miroir,mirror
souffler,breathe
décrire,describe
vengeance,vengeance
prise,taking
raisonnable,reasonable
pause,pause
évidemment,of course
rang,rank
crédit,credit
vous-même,yourself
maire,mayor
région,region
môme,kid
raccrocher,hang up
origine,origin
goutte,drop
approche,approach
mystère,mystery
exciter,excite
grand-chose,much
signaler,report
gay,gay
cracher,spit
réduire,cut back
printemps,spring
vaincre,defeat
noyer,walnut
foule,crowd
fini,finished
expert,expert
royaume,kingdom
studio,studio
rembourser,repay
cents,cents
imagination,imagination
habit,habit
poupée,baby doll
bâtiment,building
espion,spy
ambulance,ambulance
vente,sale
gérer,manage
divorcer,divorce
interrompre,interrupt
exprès,express
échanger,exchange
comte,count
sergent,sergeant
enterrement,burial
suicide,suicide
large,wide
monnaie,currency
chiffre,figure
conclure,wrap up
fromage,cheese
repérer,spot
garer,park
cuisiner,cook
furieux,furious
poème,poem
cogner,bang
rayon,aisle
taule,slammer
souffle,breath
alerte,alert
insulter,insult
flamme,flame
magique,magic
repasser,iron
exagérer,exaggerate
autrefois,in the past
facilement,easily
sexy,sexy
veuf,widower
sensible,sensitive
tuyau,pipe
atterrir,touch down
directement,directly
barrer,bar
méfier,beware
moral,moral
demi-heure,half-hour
f,f
sain,healthy
pari,bet
violent,violent
maîtresse,mistress
asile,asylum
inspirer,inspire
divin,divine
armé,armed
boutique,shop
hop,hop
secteur,sector
embarquer,embark
rapidement,quickly
lentement,slowly
déchirer,tear
poitrine,chest
salaire,wage
bite,cock
baigner,bathe
colline,hill
réaction,reaction
otage,hostage
épargner,save
télévision,television
établir,establish
principe,principle
émotion,emotion
technique,technical
absurde,absurd
monseigneur,Monseigneur
dette,debt
explosion,explosion
vomir,vomit
liquide,liquid
jeudi,Thursday
rassembler,gather
adorable,adorable
abri,shelter
chant,chant
raccompagner,escort
prénom,first name
possibilité,possibility
lampe,lamp
comparer,compare
roman,novel
associé,partner
sable,sand
au-delà,beyond
portrait,portrait
romantique,romantic
copie,copy
sacrifier,sacrifice
période,period
débarquer,land
magie,magic
pub,pub
fournir,provide
serviette,towel
semblant,semblance
géant,giant
net,net
passeport,passport
pointer,point
empereur,emperor
torturer,torture
central,central
pressé,pressed
jouet,toy
info,info
lutter,fight
inscrire,enroll
épuiser,exhaust
ascenseur,lift
digne,worthy
saloperie,rubbish
mandat,mandate
garage,garage
moto,motorcycle
vif,bright
rapprocher,bring closer
figure,figure
unir,unite
chute,fall
japonais,Japanese
sacrer,crown
creuser,dig
satisfaire,satisfy
transmettre,transmit
attente,waiting
donne,gives
élevé,high
gant,glove
décrocher,unhook
révolution,revolution
exécuter,perform
fièvre,fever
accomplir,accomplish
existence,existence
impressionner,impress
pêche,Peach
prononcer,pronounce
océan,ocean
original,original
vilain,ugly
nier,deny
document,document
méthode,method
écarter,spread
précieux,precious
guider,guide
kilomètre,kilometer
nation,nation
protection,protection
manque,lack
musical,musical
écoute,listening
ordinaire,ordinary
religion,religion
mouche,fly
avantage,advantage
